Location,WeekOfYear,freq
-control,NA,27
AK,18,5
AK,22,1
AK,28,40
BB,22,6
DC,18,34
DC,20,1
DC,22,7
DC,26,12
DC,30,11
DC,34,14
DC,36,11
DM,23,4
DR,18,21
DR,20,2
HB,35,8
JH,19,2
JH,27,2
JH,31,4
JH,33,4
JH,34,17
JH,37,10
JH,40,7
JH,42,12
RK,17,18
RK,21,3
RK,25,2
RK,34,5
RK,37,8
SB,19,13
SB,27,3
SB,34,6
SB,37,4
SD,37,1
SD,38,5
SD,40,32
SD,42,18
SP,18,4
SP,20,3
SP,24,2
SP,28,2
SP,30,10
TWB,38,2
TWS,18,8
TWS,20,22
TWS,22,7
TWS,24,12
TWS,26,9
TWS,28,12
TWS,30,19
TWS,32,5
TWS,34,3
TWS,36,8
TWS,38,19
TWS,40,12
ZG,26,3
ZG,28,42
ZG,30,89
ZG,32,4
ZG,34,17
ZG,36,22
